service_id,date,exception_type
20201011multiint-1111100,20200303,1
20201011multiint-1111100,20200304,1
20201011multiint-0001100,20200305,1
20201011multiint-1111100,20200305,1
20201011multiint-0000100,20200306,1
20201011multiint-0001100,20200306,1
20201011multiint-1111100,20200306,1
20201511multiint-0000010,20200307,1
20201611multiint-0000001,20200308,1
20201011multiint-1111100,20200309,1
20201011multiint-1111100,20200310,1
20201011multiint-1111100,20200311,1
20201011multiint-0001100,20200312,1
20201011multiint-1111100,20200312,1
20201011multiint-0000100,20200313,1
20201011multiint-0001100,20200313,1
20201011multiint-1111100,20200313,1
20201511multiint-0000010,20200314,1
20201611multiint-0000001,20200315,1
20201011multiint-1111100,20200316,1
20201011multiint-1111100,20200317,1
20201011multiint-1111100,20200318,1
20201011multiint-0001100,20200319,1
20201011multiint-1111100,20200319,1
20201011multiint-0000100,20200320,1
20201011multiint-0001100,20200320,1
20201011multiint-1111100,20200320,1
20201511multiint-0000010,20200321,1
20201611multiint-0000001,20200322,1
20201011multiint-1111100,20200323,1
20201011multiint-1111100,20200324,1
20201011multiint-1111100,20200325,1
20201011multiint-0001100,20200326,1
20201011multiint-1111100,20200326,1
20201011multiint-0000100,20200327,1
20201011multiint-0001100,20200327,1
20201011multiint-1111100,20200327,1
20201511multiint-0000010,20200328,1
20201611multiint-0000001,20200329,1
20201011multiint-1111100,20200330,1
20201011multiint-1111100,20200331,1
20201011multiint-1111100,20200401,1
20201011multiint-0001100,20200402,1
20201011multiint-1111100,20200402,1
20201011multiint-0000100,20200403,1
20201011multiint-0001100,20200403,1
20201011multiint-1111100,20200403,1
20201511multiint-0000010,20200404,1
20201611multiint-0000001,20200405,1
20201011multiint-1111100,20200406,1
20201011multiint-1111100,20200407,1
20201011multiint-1111100,20200408,1
20201011multiint-0001100,20200409,1
20201011multiint-1111100,20200409,1
20201512multiint-0000010,20200410,1
20201511multiint-0000010,20200411,1
20201611multiint-0000001,20200412,1
20201513multiint-0000010,20200413,1
20201011multiint-1111100,20200414,1
20201011multiint-1111100,20200415,1
20201011multiint-0001100,20200416,1
20201011multiint-1111100,20200416,1
20201011multiint-0000100,20200417,1
20201011multiint-0001100,20200417,1
20201011multiint-1111100,20200417,1
20201511multiint-0000010,20200418,1
20201611multiint-0000001,20200419,1
20201011multiint-1111100,20200420,1
20201011multiint-1111100,20200421,1
20201011multiint-1111100,20200422,1
20201011multiint-0001100,20200423,1
20201011multiint-1111100,20200423,1
20201011multiint-0000100,20200424,1
20201011multiint-0001100,20200424,1
20201011multiint-1111100,20200424,1
20201511multiint-0000010,20200425,1
20201611multiint-0000001,20200426,1
20201011multiint-1111100,20200427,1
20201011multiint-1111100,20200428,1
20201011multiint-1111100,20200429,1
20201011multiint-0001100,20200430,1
20201011multiint-1111100,20200430,1
20201011multiint-0000100,20200501,1
20201011multiint-0001100,20200501,1
20201011multiint-1111100,20200501,1
20201511multiint-0000010,20200502,1
20201611multiint-0000001,20200503,1
20201011multiint-1111100,20200504,1
20201011multiint-1111100,20200505,1
20201011multiint-1111100,20200506,1
20201011multiint-0001100,20200507,1
20201011multiint-1111100,20200507,1
20201011multiint-0000100,20200508,1
20201011multiint-0001100,20200508,1
20201011multiint-1111100,20200508,1
20201511multiint-0000010,20200509,1
20201611multiint-0000001,20200510,1
20201011multiint-1111100,20200511,1
20201011multiint-1111100,20200512,1
20201011multiint-1111100,20200513,1
20201011multiint-0001100,20200514,1
20201011multiint-1111100,20200514,1
20201011multiint-0000100,20200515,1
20201011multiint-0001100,20200515,1
20201011multiint-1111100,20200515,1
20201511multiint-0000010,20200516,1
20201611multiint-0000001,20200517,1
20201513multiint-0000010,20200518,1
20201011multiint-1111100,20200519,1
20201011multiint-1111100,20200520,1
20201011multiint-0001100,20200521,1
20201011multiint-1111100,20200521,1
20201011multiint-0000100,20200522,1
20201011multiint-0001100,20200522,1
20201011multiint-1111100,20200522,1
20201511multiint-0000010,20200523,1
20201611multiint-0000001,20200524,1
20201011multiint-1111100,20200525,1
20201011multiint-1111100,20200526,1
20201011multiint-1111100,20200527,1
20201011multiint-0001100,20200528,1
20201011multiint-1111100,20200528,1
20201011multiint-0000100,20200529,1
20201011multiint-0001100,20200529,1
20201011multiint-1111100,20200529,1
20201511multiint-0000010,20200530,1
20201611multiint-0000001,20200531,1
20201011multiint-1111100,20200601,1
20201011multiint-1111100,20200602,1
20201011multiint-1111100,20200603,1
20201011multiint-0001100,20200604,1
20201011multiint-1111100,20200604,1
20201011multiint-0000100,20200605,1
20201011multiint-0001100,20200605,1
20201011multiint-1111100,20200605,1
20201511multiint-0000010,20200606,1
20201611multiint-0000001,20200607,1
20201011multiint-1111100,20200608,1
20201011multiint-1111100,20200609,1
20201011multiint-1111100,20200610,1
20201011multiint-0001100,20200611,1
20201011multiint-1111100,20200611,1
20201011multiint-0000100,20200612,1
20201011multiint-0001100,20200612,1
20201011multiint-1111100,20200612,1
20201511multiint-0000010,20200613,1
20201611multiint-0000001,20200614,1
20201011multiint-1111100,20200615,1
20201011multiint-1111100,20200616,1
20201011multiint-1111100,20200617,1
20201011multiint-0001100,20200618,1
20201011multiint-1111100,20200618,1
20201011multiint-0000100,20200619,1
20201011multiint-0001100,20200619,1
20201011multiint-1111100,20200619,1
